object_id,publisher,journal,issn
item_3490691,,Journal des tribunaux,0021-812X
item_3551275,Zentralinstitut für Kunstgeschichte,RIHA journal : journal of the International Association of Research Institutes in the History of Art,
item_3432499,Public Library of Science,PLoS Biology,1544-9173
item_3473338,Frontiers Research Foundation,Frontiers in Integrative Neuroscience,1662-5145
item_3450662,Frontiers Research Foundation,Frontiers in Integrative Neuroscience,1662-5145
item_3401439,Wiley-VCH,Advanced Materials,0935-9648
item_3377648,,Questions au féminin,2235-1833
item_3364973,Elsevier,Applied Materials Today,2352-9407
item_3481452,IOP Publishing; IAEA,The Astrophysical Journal,0004-637X
item_3490682,Cambridge University Press,German Law Journal,2071-8322 
item_3376210,American Chemical Society,ACS Omega,2470-1343
item_3505528,Informa UK (Taylor & Francis),Capitalism Nature Socialism,1045-5752
item_3400930,Berghahn Books,"Social Anthropology/Anthropologie sociale
",0964-0282
item_3429040,Wiley-VCH,Nachrichten aus der Chemie,1439-9598
item_3482121,SAGE Publications,Critique of Anthropology,0308-275X
item_3475184,Cambridge University Press ,Contemporary European History,1469-2171
item_3368281,Cambridge Univ. Press,Popular Music ,0261-1430 
item_3501819,MIT Press Journals,Journal of Cognitive Neuroscience,0898-929X
item_3375656,Nature Publishing Group,Nature Communications,2041-1723
item_3486526,MDPI AG,Vaccines,
item_3458878,Elsevier,Vaccine,0264-410X
item_3391364,American Society of Plant Biologists,Plant Physiology,0032-0889
item_3482322,Society of Nuclear Medicine,Journal of Nuclear Medicine,0161-5505
item_3400635,American Chemical Society,Journal of the American Chemical Society,0002-7863
item_3377416,American Society of Plant Biologists,Plant Physiology,0032-0889
item_3364662,Frontiers Media,Frontiers in Molecular Biosciences,
item_3380953,Wiley-VCH ,Angewandte Chemie International Edition,1433-7851
item_3401351,Springer Science and Business Media LLC,Nature Reviews Physics,2522-5820
item_3481252,Nature Publishing Group,Nature Communications,2041-1723
item_3390309,Wiley-VCH,Advanced Energy Materials,1614-6832
item_3400293,Wiley,Aggregate,2692-4560
item_3384281,Brill,Nuncius,0394-7394
item_3400540,American Chemical Society,ACS Applied Energy Materials,02574-0962
item_3383507,MDPI AG,International Journal of Molecular Sciences ,1422-0067
item_3484600,IOP Publishing; IAEA,The Astrophysical Journal,0004-637X
item_3497212,Nature Publishing Group,Nature Communications,2041-1723
item_3480825,Nature Publishing Group,Scientific Reports,2045-2322
item_3479466,Springer Science and Business Media LLC,Scientific Reports,2045-2322
item_3367300,Wiley-VCH Verlag GmbH,Advanced Functional Materials,1616-301X
item_3359537,American Chemical Society,Journal of the American Chemical Society,0002-7863
item_3401438,Elsevier B. V.,Additive Manufacturing,2214-8604
item_3395807,Nature Publishing Group,Scientific Reports,2045-2322
